epoch,PCC,PCC_RMSE,RMSE,loss,mse,val_PCC,val_PCC_RMSE,val_RMSE,val_loss,val_mse
0,0.31990328431129456,1.1687649488449097,2.3097023963928223,9.439990997314453,9.660218238830566,0.4619717001914978,0.8311387300491333,1.528795599937439,3.5775341987609863,3.5656867027282715
1,0.4462721049785614,0.8483541011810303,1.535778284072876,2.5064709186553955,4.144804954528809,0.5671097636222839,0.7556623816490173,1.514279842376709,1.9678597450256348,3.423220157623291
2,0.45527008175849915,0.8156735897064209,1.4465738534927368,1.8123042583465576,3.6527867317199707,0.3920191526412964,0.8787786960601807,1.5223419666290283,1.8232855796813965,3.475983142852783
3,0.4651101231575012,0.7958694100379944,1.4054410457611084,1.7180194854736328,3.3428120613098145,0.5226796269416809,0.7873561978340149,1.5116066932678223,1.7965059280395508,3.9194540977478027
4,0.537543535232544,0.7042465806007385,1.2694203853607178,1.4914848804473877,2.6498048305511475,0.5736352205276489,0.7067004442214966,1.3638371229171753,1.5286768674850464,3.024172306060791
5,0.5853995680809021,0.6544644236564636,1.2148690223693848,1.3552767038345337,2.4029312133789062,0.5950265526771545,0.668951690196991,1.2890923023223877,1.4141693115234375,2.614225149154663
6,0.6021021008491516,0.6364197731018066,1.1935869455337524,1.3105863332748413,2.326688289642334,0.6043800115585327,0.63800048828125,1.2094452381134033,1.309740662574768,2.3829691410064697
7,0.6183058023452759,0.6171960830688477,1.1664375066757202,1.2665987014770508,2.2588977813720703,0.6310109496116638,0.6281536817550659,1.2367099523544312,1.337053894996643,2.415281057357788
8,0.6353670358657837,0.5985717177391052,1.1448757648468018,1.2408154010772705,2.169318437576294,0.5591205954551697,0.6952994465827942,1.29403817653656,1.3858721256256104,2.6359128952026367
9,0.6474159359931946,0.5851298570632935,1.1279890537261963,1.2145870923995972,2.1151669025421143,0.6450517177581787,0.5952238440513611,1.1554350852966309,1.2415502071380615,2.215715169906616
10,0.6682600378990173,0.5617650747299194,1.0987666845321655,1.1747653484344482,2.0238685607910156,0.6423233151435852,0.5998679995536804,1.1693555116653442,1.2388744354248047,2.208616018295288
